Date : 2024-06-13 11:58:56
Directory : e:\spring
Total : 217 files,  19864 codes, 541 comments, 1292 blanks, all 21697 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| e:\spring\backencloud\botrunningsystem\src\main\java\com\kob\botrunningsystem\service\impl\BotRunningServiceImpl.java | Java               |         14 |          0 |          3 |         17 |
| e:\spring\backencloud\botrunningsystem\src\main\java\com\kob\botrunningsystem\service\impl\utils\Bot.java             | Java               |         12 |          0 |          3 |         15 |
| e:\spring\backencloud\botrunningsystem\src\main\java\com\kob\botrunningsystem\service\impl\utils\BotPool.java         | Java               |         43 |         13 |          9 |         65 |
| e:\spring\backencloud\botrunningsystem\src\main\java\com\kob\botrunningsystem\service\impl\utils\Consumer.java        | Java               |         58 |          0 |         14 |         72 |
| e:\spring\backencloud\botrunningsystem\src\main\java\com\kob\botrunningsystem\utils\Bot.java                          | Java               |         73 |          0 |         13 |         86 |
| e:\spring\backencloud\botrunningsystem\src\main\java\com\kob\botrunningsystem\utils\BotInterface.java                 | Java               |          4 |          0 |          2 |          6 |
| e:\spring\backencloud\botrunningsystem\src\main\resources\application.properties                                      | Java Properties    |          1 |          0 |          0 |          1 |
| e:\spring\backencloud\joptionpane\pom.xml                                                                             | XML                |         36 |          0 |          3 |         39 |
| e:\spring\backencloud\joptionpane\src\main\java\FirstApp.java                                                         | Java               |          5 |          0 |          0 |          5 |
| e:\spring\backencloud\joptionpane\src\main\java\JOp.java                                                              | Java               |          8 |          0 |          1 |          9 |
| e:\spring\backencloud\joptionpane\src\main\java\Main.java                                                             | Java               |         77 |          0 |          8 |         85 |
| e:\spring\backencloud\joptionpane\src\main\java\Main6.java                                                            | Java               |        105 |          0 |         20 |        125 |
| e:\spring\backencloud\joptionpane\src\main\java\PTAJAVA2\Main.java                                                    | Java               |         41 |          0 |          5 |         46 |
| e:\spring\backencloud\joptionpane\src\main\java\PTAJAVA2\Main2.java                                                   | Java               |         84 |          0 |         18 |        102 |
| e:\spring\backencloud\joptionpane\src\main\java\PTAJAVA2\Main4.java                                                   | Java               |         20 |          0 |          6 |         26 |
| e:\spring\backencloud\joptionpane\src\main\java\PTAJAVA2\Main5.java                                                   | Java               |        165 |          0 |         27 |        192 |
| e:\spring\backencloud\joptionpane\src\main\java\PTAJAVA3\Main.java                                                    | Java               |         54 |          0 |          9 |         63 |
| e:\spring\backencloud\joptionpane\src\main\java\PTAJAVA3\Main1.java                                                   | Java               |         10 |          0 |          3 |         13 |
| e:\spring\backencloud\joptionpane\src\main\java\PTAJAVA3\Main4.java                                                   | Java               |         61 |          0 |         14 |         75 |
| e:\spring\backencloud\joptionpane\src\main\java\PTAJAVA3\Main6.java                                                   | Java               |         26 |          0 |          5 |         31 |
| e:\spring\backencloud\joptionpane\src\main\java\PTAJAVA3\Main7.java                                                   | Java               |         48 |          0 |          3 |         51 |
| e:\spring\backencloud\joptionpane\src\main\java\PTAJAVA3\Main8.java                                                   | Java               |         22 |          0 |          7 |         29 |
| e:\spring\backencloud\joptionpane\src\main\java\PTAJAVA3\Main9.java                                                   | Java               |        143 |          0 |         22 |        165 |
| e:\spring\backencloud\joptionpane\src\main\java\PTAJAVA4\Main1.java                                                   | Java               |         86 |          0 |         14 |        100 |
| e:\spring\backencloud\joptionpane\src\main\java\PTAJAVA4\Main2.java                                                   | Java               |         24 |          0 |          3 |         27 |
| e:\spring\backencloud\joptionpane\src\main\java\PTAJAVA4\Main3.java                                                   | Java               |         33 |          0 |          3 |         36 |
| e:\spring\backencloud\joptionpane\src\main\java\PTAJAVA4\Main4.java                                                   | Java               |         79 |          0 |         16 |         95 |
| e:\spring\backencloud\joptionpane\src\main\java\PTAJAVA4\Main7.java                                                   | Java               |         21 |          0 |          4 |         25 |
| e:\spring\backencloud\joptionpane\src\main\java\PTAJAVA4\Main8.java                                                   | Java               |         52 |          0 |          4 |         56 |
| e:\spring\backencloud\joptionpane\src\main\java\PTAJAVA5\Main1.java                                                   | Java               |          0 |        121 |          0 |        121 |
| e:\spring\backencloud\joptionpane\src\main\java\PTAJAVA5\Main2.java                                                   | Java               |         18 |          0 |          3 |         21 |
| e:\spring\backencloud\joptionpane\src\main\java\PTAJAVA5\Main3.java                                                   | Java               |         20 |          0 |          3 |         23 |
| e:\spring\backencloud\joptionpane\src\main\java\PTAJAVA5\Main4.java                                                   | Java               |         49 |          0 |          2 |         51 |
| e:\spring\backencloud\joptionpane\src\main\java\PTAJAVA5\Main5.java                                                   | Java               |         38 |          0 |          8 |         46 |
| e:\spring\backencloud\joptionpane\src\main\java\PTAJAVA5\Main6.java                                                   | Java               |         48 |          0 |         12 |         60 |
| e:\spring\backencloud\joptionpane\src\main\java\PTAJAVA5\Main7.java                                                   | Java               |         25 |          1 |          3 |         29 |
| e:\spring\backencloud\joptionpane\src\main\java\PTAJAVA5\Main8.java                                                   | Java               |         19 |          0 |          3 |         22 |
| e:\spring\backencloud\joptionpane\src\main\java\PTAJAVA6\Main.java                                                    | Java               |        140 |          0 |         16 |        156 |
| e:\spring\backencloud\joptionpane\src\main\java\PTAJAVA6\Main2.java                                                   | Java               |         76 |          0 |         12 |         88 |
| e:\spring\backencloud\joptionpane\src\main\java\PTAJAVA6\Main3.java                                                   | Java               |         81 |          0 |         10 |         91 |
| e:\spring\backencloud\joptionpane\src\main\java\PTAJAVA6\Main4.java                                                   | Java               |         16 |          0 |          3 |         19 |
| e:\spring\backencloud\joptionpane\src\main\java\PTAJAVA6\Main6.java                                                   | Java               |         49 |          0 |          6 |         55 |
| e:\spring\backencloud\joptionpane\src\main\java\cin.java                                                              | Java               |         10 |          0 |          1 |         11 |
| e:\spring\backencloud\joptionpane\src\main\java\primes.java                                                           | Java               |         18 |          0 |          1 |         19 |
| e:\spring\backencloud\joptionpane\src\main\java\实验10\AnalysisResult.java                                              | Java               |         28 |          0 |          3 |         31 |
| e:\spring\backencloud\joptionpane\src\main\java\实验10\Fenxi.java                                                       | Java               |         15 |          0 |          2 |         17 |
| e:\spring\backencloud\joptionpane\src\main\java\实验10\PassWord.java                                                    | Java               |         36 |          0 |          4 |         40 |
| e:\spring\backencloud\joptionpane\src\main\java\实验2\one\Asterisk.java                                                 | Java               |         12 |          0 |          2 |         14 |
| e:\spring\backencloud\joptionpane\src\main\java\实验2\one\Fibonacciseries.java                                          | Java               |         13 |          0 |          3 |         16 |
| e:\spring\backencloud\joptionpane\src\main\java\实验2\one\Fibonacciseries1.java                                         | Java               |         15 |          0 |          3 |         18 |
| e:\spring\backencloud\joptionpane\src\main\java\实验2\one\Narcissistic.java                                             | Java               |         17 |          0 |          2 |         19 |
| e:\spring\backencloud\joptionpane\src\main\java\实验2\three\Tank.java                                                   | Java               |         43 |          0 |         11 |         54 |
| e:\spring\backencloud\joptionpane\src\main\java\实验2\three\TrankTest.java                                              | Java               |         23 |          0 |          3 |         26 |
| e:\spring\backencloud\joptionpane\src\main\java\实验2\two\Dog.java                                                      | Java               |         21 |          0 |          5 |         26 |
| e:\spring\backencloud\joptionpane\src\main\java\实验2\two\MyDog.java                                                    | Java               |          7 |          0 |          3 |         10 |
| e:\spring\backencloud\joptionpane\src\main\java\实验4\MainClass.java                                                    | Java               |         52 |          3 |          4 |         59 |
| e:\spring\backencloud\joptionpane\src\main\java\实验4\MainClass1.java                                                   | Java               |         37 |          2 |          2 |         41 |
| e:\spring\backencloud\joptionpane\src\main\java\实验4\MainClass2.java                                                   | Java               |         41 |          0 |         10 |         51 |
| e:\spring\backencloud\joptionpane\src\main\java\实验4\WeatherForecast.java                                              | Java               |         56 |          1 |          6 |         63 |
| e:\spring\backencloud\joptionpane\src\main\java\实验5\ColoredStar.java                                                  | Java               |         32 |          0 |         13 |         45 |
| e:\spring\backencloud\joptionpane\src\main\java\实验5\RandomConcentricCircles.java                                      | Java               |         28 |          0 |          7 |         35 |
| e:\spring\backencloud\joptionpane\src\main\java\实验5\circul.java                                                       | Java               |          6 |          0 |          2 |          8 |
| e:\spring\backencloud\joptionpane\src\main\java\实验三\Address.java                                                      | Java               |         21 |          0 |          7 |         28 |
| e:\spring\backencloud\joptionpane\src\main\java\实验三\Complex.java                                                      | Java               |         49 |          0 |         10 |         59 |
| e:\spring\backencloud\joptionpane\src\main\java\实验三\Equation.java                                                     | Java               |         40 |          0 |         11 |         51 |
| e:\spring\backencloud\joptionpane\src\main\java\实验三\Main1.java                                                        | Java               |         10 |          0 |          3 |         13 |
| e:\spring\backencloud\joptionpane\src\main\java\实验三\Main2.java                                                        | Java               |          8 |          0 |          2 |         10 |
| e:\spring\backencloud\joptionpane\src\main\java\实验三\Person.java                                                       | Java               |         36 |          0 |         10 |         46 |
| e:\spring\backencloud\joptionpane\src\main\java\实验三\Student.java                                                      | Java               |         62 |          0 |         16 |         78 |
| e:\spring\backencloud\joptionpane\src\main\java\实验三\StudentTest.java                                                  | Java               |         22 |          0 |          3 |         25 |
| e:\spring\backencloud\matchingsystem\pom.xml                                                                          | XML                |         59 |          2 |          7 |         68 |
| e:\spring\backencloud\matchingsystem\src\main\java\com\kob\matchingsystem\MatchingSystemApplication.java              | Java               |         11 |          0 |          2 |         13 |
| e:\spring\backencloud\matchingsystem\src\main\java\com\kob\matchingsystem\config\RestTemplateConfig.java              | Java               |         12 |          0 |          3 |         15 |
| e:\spring\backencloud\matchingsystem\src\main\java\com\kob\matchingsystem\config\SecurityConfig.java                  | Java               |         21 |          0 |          3 |         24 |
| e:\spring\backencloud\matchingsystem\src\main\java\com\kob\matchingsystem\controller\MatchingController.java          | Java               |         27 |          0 |          6 |         33 |
| e:\spring\backencloud\matchingsystem\src\main\java\com\kob\matchingsystem\service\MatchingService.java                | Java               |          5 |          0 |          2 |          7 |
| e:\spring\backencloud\matchingsystem\src\main\java\com\kob\matchingsystem\service\impl\MatchingServiceImpl.java       | Java               |         20 |          0 |          5 |         25 |
| e:\spring\backencloud\matchingsystem\src\main\java\com\kob\matchingsystem\service\impl\utils\MatchingPool.java        | Java               |        108 |          4 |         14 |        126 |
| e:\spring\backencloud\matchingsystem\src\main\java\com\kob\matchingsystem\service\impl\utils\Player.java              | Java               |         14 |          0 |          4 |         18 |
| e:\spring\backencloud\matchingsystem\src\main\resources\application.properties                                        | Java Properties    |          1 |          0 |          0 |          1 |
| e:\spring\backencloud\pom.xml                                                                                         | XML                |         60 |          1 |          6 |         67 |
| e:\spring\backencloud\test\pom.xml                                                                                    | XML                |         18 |          0 |          3 |         21 |
| e:\spring\backencloud\test\src\main\java\com\kob\botrunningsystem\Main.java                                           | Java               |          6 |          0 |          1 |          7 |
| e:\spring\readme.md                                                                                                   | Markdown           |         15 |          0 |          9 |         24 |
| e:\spring\web\README.md                                                                                               | Markdown           |         19 |          0 |          6 |         25 |
| e:\spring\web\babel.config.js                                                                                         | JavaScript         |          5 |          0 |          1 |          6 |
| e:\spring\web\jsconfig.json                                                                                           | JSON with Comments |         19 |          0 |          1 |         20 |
| e:\spring\web\package-lock.json                                                                                       | JSON               |     11,870 |          0 |          1 |     11,871 |
| e:\spring\web\package.json                                                                                            | JSON               |         52 |          0 |          1 |         53 |
| e:\spring\web\public\index.html                                                                                       | HTML               |         16 |          1 |          1 |         18 |
| e:\spring\web\springboot\css\app.66357021.css                                                                         | CSS                |          1 |          0 |          0 |          1 |
| e:\spring\web\springboot\css\chunk-vendors.8a42e1de.css                                                               | CSS                |          2 |          3 |          0 |          5 |
| e:\spring\web\springboot\index.html                                                                                   | HTML               |          1 |          0 |          0 |          1 |
| e:\spring\web\springboot\js\app.0935f41d.js                                                                           | JavaScript         |          1 |          1 |          0 |          2 |
| e:\spring\web\springboot\js\chunk-vendors.9cae9523.js                                                                 | JavaScript         |         12 |         75 |          0 |         87 |
| e:\spring\web\src\App.vue                                                                                             | Vue                |         21 |          1 |          4 |         26 |
| e:\spring\web\src\assets\global.js                                                                                    | JavaScript         |          4 |          2 |          3 |          9 |
| e:\spring\web\src\assets\scripts\AcGameObject.js                                                                      | JavaScript         |         39 |          0 |         11 |         50 |
| e:\spring\web\src\assets\scripts\Cell.js                                                                              | JavaScript         |          8 |          0 |          0 |          8 |
| e:\spring\web\src\assets\scripts\GameMap.js                                                                           | JavaScript         |        133 |          3 |         23 |        159 |
| e:\spring\web\src\assets\scripts\Snake.js                                                                             | JavaScript         |        141 |          8 |         32 |        181 |
| e:\spring\web\src\assets\scripts\Wall.js                                                                              | JavaScript         |         19 |          0 |          6 |         25 |
| e:\spring\web\src\components\ContentField.vue                                                                         | Vue                |         14 |          0 |          2 |         16 |
| e:\spring\web\src\components\GameMap.vue                                                                              | Vue                |         40 |          0 |          4 |         44 |
| e:\spring\web\src\components\MatchGround.vue                                                                          | Vue                |        128 |          3 |         11 |        142 |
| e:\spring\web\src\components\NavBar.vue                                                                               | Vue                |        121 |          8 |          4 |        133 |
| e:\spring\web\src\components\PlayGround.vue                                                                           | Vue                |         18 |          1 |          2 |         21 |
| e:\spring\web\src\components\ResultBoard.vue                                                                          | Vue                |         67 |          1 |          4 |         72 |
| e:\spring\web\src\components\personal_center\UserProfileInfo.vue                                                      | Vue                |        155 |         28 |         16 |        199 |
| e:\spring\web\src\components\personal_center\UserProfilePosts.vue                                                     | Vue                |         67 |          0 |          5 |         72 |
| e:\spring\web\src\components\personal_center\UserProfileWrite.vue                                                     | Vue                |         52 |          0 |          6 |         58 |
| e:\spring\web\src\main.js                                                                                             | JavaScript         |          5 |          0 |          2 |          7 |
| e:\spring\web\src\router\index.js                                                                                     | JavaScript         |        118 |          8 |         12 |        138 |
| e:\spring\web\src\store\index.js                                                                                      | JavaScript         |         19 |          0 |          2 |         21 |
| e:\spring\web\src\store\pk.js                                                                                         | JavaScript         |         54 |          0 |          5 |         59 |
| e:\spring\web\src\store\record.js                                                                                     | JavaScript         |         26 |          0 |          0 |         26 |
| e:\spring\web\src\store\user.js                                                                                       | JavaScript         |         86 |          4 |          4 |         94 |
| e:\spring\web\src\views\error\NotFound.vue                                                                            | Vue                |         13 |          0 |          2 |         15 |
| e:\spring\web\src\views\pk\PkIndexView.vue                                                                            | Vue                |         98 |          6 |          9 |        113 |
| e:\spring\web\src\views\ranklist\RanklistIndexView.vue                                                                | Vue                |        118 |        166 |         10 |        294 |
| e:\spring\web\src\views\record\RecordContentView.vue                                                                  | Vue                |         14 |          0 |          3 |         17 |
| e:\spring\web\src\views\record\RecordIndexView.vue                                                                    | Vue                |        218 |          2 |         15 |        235 |
| e:\spring\web\src\views\test.vue                                                                                      | Vue                |         33 |         18 |          7 |         58 |
| e:\spring\web\src\views\test\star\index.js                                                                            | JavaScript         |          5 |          0 |          2 |          7 |
| e:\spring\web\src\views\test\star\star.vue                                                                            | Vue                |         10 |          0 |          1 |         11 |
| e:\spring\web\src\views\user\account\UserAccountLoginView.vue                                                         | Vue                |         98 |          0 |          6 |        104 |
| e:\spring\web\src\views\user\account\UserAccountRegisterView.vue                                                      | Vue                |         97 |          2 |          3 |        102 |
| e:\spring\web\src\views\user\bot\UserBotIndexView.vue                                                                 | Vue                |        362 |          3 |         14 |        379 |
| e:\spring\web\src\views\user\profile\UserProfileView.vue                                                              | Vue                |         35 |          2 |          4 |         41 |
| e:\spring\web\vue.config.js                                                                                           | JavaScript         |          4 |          0 |          1 |          5 |
| Total                                                                                                                 |                    |     19,864 |        541 |      1,292 |     21,697 |
+-----------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
